AnimalID,mixed,hairtype
A006100,1,otherhair
A047759,0,otherhair
A134067,0,otherhair
A141142,1,otherhair
A163459,1,otherhair
A178569,1,otherhair
A189592,1,otherhair
A191351,1,longhair
A197810,1,shorthair
A200922,1,otherhair
A208755,1,otherhair
A214991,0,shorthair
A215368,1,otherhair
A218622,0,otherhair
A218624,0,otherhair
A228887,1,otherhair
A234161,1,shorthair
A236259,1,otherhair
A245945,1,otherhair
A251214,1,otherhair
A258441,1,shorthair
A260631,1,longhair
A260914,1,otherhair
A267174,1,otherhair
A268022,1,otherhair
A271790,1,otherhair
A274546,1,otherhair
A275975,1,shorthair
A276780,1,otherhair
A279045,1,shorthair
A279920,1,otherhair
A281542,1,otherhair
A283735,1,otherhair
A284639,1,otherhair
A287017,1,shorthair
A287217,1,shorthair
A290917,1,longhair
A294132,1,otherhair
A295822,1,longhair
A298074,1,otherhair
A302820,1,otherhair
A304036,1,shorthair
A305112,0,otherhair
A305674,1,otherhair
A306362,1,otherhair
A307592,1,longhair
A308771,1,otherhair
A309829,0,otherhair
A310394,1,otherhair
A310454,1,shorthair
A310938,0,shorthair
A311544,1,otherhair
A312005,1,otherhair
A318500,1,otherhair
A318574,0,shorthair
A321341,1,shorthair
A322813,1,otherhair
A323668,1,otherhair
A325999,1,otherhair
A328422,1,otherhair
A333659,1,otherhair
A335182,1,otherhair
A337686,1,otherhair
A338231,1,otherhair
A339103,1,otherhair
A341599,1,shorthair
A342480,1,otherhair
A345209,1,otherhair
A346599,1,shorthair
A346884,0,otherhair
A349480,1,otherhair
A354540,1,shorthair
A354597,1,otherhair
A354725,1,otherhair
A355688,1,otherhair
A355753,1,otherhair
A357021,1,otherhair
A358697,1,otherhair
A358879,0,otherhair
A361391,0,otherhair
A362103,1,otherhair
A362137,1,otherhair
A362967,1,otherhair
A363653,1,otherhair
A367012,1,otherhair
A367438,1,shorthair
A367747,1,otherhair
A368930,0,otherhair
A370852,1,shorthair
A371000,1,shorthair
A371102,1,otherhair
A371344,1,otherhair
A373219,1,shorthair
A373687,1,otherhair
A375393,0,shorthair
A376322,1,otherhair
A378348,1,otherhair
A378353,1,shorthair
A378818,1,otherhair
A381173,1,otherhair
A382192,1,otherhair
A382251,1,otherhair
A383036,1,shorthair
A385442,1,otherhair
A386005,1,otherhair
A386276,1,shorthair
A387965,1,otherhair
A388691,1,otherhair
A390222,0,otherhair
A392615,1,otherhair
A394547,1,otherhair
A399421,0,otherhair
A399552,1,otherhair
A408035,1,otherhair
A410684,1,shorthair
A412173,1,otherhair
A412697,1,otherhair
A414198,1,otherhair
A415049,1,otherhair
A415589,1,otherhair
A415823,1,otherhair
A417622,0,otherhair
A419781,1,otherhair
A420464,1,otherhair
A421087,1,otherhair
A423701,1,otherhair
A427100,1,otherhair
A427442,0,shorthair
A427782,0,otherhair
A427808,1,otherhair
A427866,1,otherhair
A428783,0,otherhair
A430366,1,otherhair
A430368,1,otherhair
