"","ID","colormix","mixwithwhite","tabby","firstcolor"
"1","A671945",1,1,0,"Brown"
"2","A656520",0,0,1,"Cream"
"3","A686464",1,1,0,"Blue"
"4","A683430",0,0,0,"Blue"
"5","A667013",0,0,0,"Tan"
"6","A677334",1,0,0,"Black"
"7","A699218",0,0,1,"Blue"
"8","A701489",0,0,1,"Brown"
"9","A671784",1,1,0,"Red"
"10","A677747",0,0,0,"White"
"11","A668402",0,0,0,"Black"
"12","A666320",0,0,0,"Silver"
"13","A684601",0,0,0,"Brown"
"14","A704702",1,0,0,"Black"
"15","A688584",1,1,0,"White"
"16","A678825",1,1,1,"Orange"
"17","A678050",0,0,1,"Brown"
"18","A680028",1,1,0,"Brown"
"19","A679010",0,0,0,"White"
"20","A684787",0,0,0,"Black"
"21","A670658",1,1,0,"Black"
"22","A708812",0,0,0,"White"
"23","A705262",1,1,0,"Brown"
"24","A665781",1,1,0,"Brown"
"25","A676333",1,0,0,"Black"
"26","A712750",0,0,1,"Orange"
"27","A718832",1,1,0,"Chocolate"
"28","A698777",1,1,0,"White"
"29","A715348",1,1,1,"Cream"
"30","A708666",0,0,0,"Blue"
"31","A718535",0,0,0,"Calico"
"32","A707341",1,1,0,"Black"
"33","A682532",0,0,0,"Torbie"
"34","A666825",1,0,0,"Brown"
"35","A699723",0,0,0,"Brown"
"36","A668626",0,0,0,"Yellow"
"37","A657085",1,1,0,"Brown"
"38","A682413",1,1,0,"Blue"
"39","A702655",1,1,0,"Black"
"40","A707503",0,0,1,"Brown"
"41","A697199",0,0,1,"Blue"
"42","A705598",0,0,1,"Orange"
"43","A668388",0,0,1,"Brown"
"44","A671181",1,1,0,"Black"
"45","A676766",1,1,0,"Black"
"46","A686716",0,0,0,"Tricolor"
"47","A684475",1,1,0,"White"
"48","A701804",0,0,0,"Black"
"49","A697852",1,0,0,"Black"
"50","A666092",1,1,0,"Chocolate"
"51","A684050",0,0,0,"Tortie"
"52","A710107",0,0,1,"Brown"
"53","A682347",1,1,1,"Blue"
"54","A701627",1,1,0,"Gray"
"55","A690902",1,1,1,"Orange"
"56","A712979",0,0,0,"Black"
"57","A707687",0,0,0,"Calico"
"58","A683443",0,0,0,"Tan"
"59","A597644",1,0,0,"Tan"
"60","A682784",1,1,0,"Brown"
"61","A709863",1,1,1,"Orange"
"62","A678506",1,0,0,"Brown"
"63","A713029",0,0,0,"Black"
"64","A712236",1,1,0,"Tan"
"65","A683961",0,0,0,"Black"
"66","A714740",0,0,0,"White"
"67","A691847",1,1,0,"Black"
"68","A711392",0,0,0,"Buff"
"69","A705258",1,1,1,"Brown"
"70","A678172",0,0,0,"Red"
"71","A676736",0,0,0,"Brown"
"72","A701575",1,1,0,"Brown"
"73","A674913",0,0,0,"White"
"74","A706446",0,0,0,"Black"
"75","A669540",1,0,0,"Blue"
"76","A709371",0,0,0,"Tan"
"77","A681410",0,0,1,"Brown"
"78","A675021",0,0,0,"Calico"
"79","A704179",0,0,0,"Black"
"80","A717839",1,1,0,"Black"
"81","A700740",0,0,0,"White"
"82","A712376",0,0,1,"Blue"
"83","A703952",0,0,0,"Seal"
"84","A713690",0,0,1,"Blue"
"85","A691838",0,0,0,"Brown"
"86","A687789",1,1,0,"Brown"
"87","A704754",0,0,0,"Black"
"88","A707531",0,0,0,"Black"
"89","A677594",1,1,0,"Black"
"90","A667155",0,0,0,"Calico"
"91","A717147",1,1,0,"Brown"
"92","A687012",0,0,0,"Black"
"93","A676200",1,1,0,"White"
"94","A676680",1,0,0,"Black"
"95","A688443",0,0,0,"Black"
"96","A715261",1,1,0,"White"
"97","A717008",1,1,0,"Black"
"98","A683416",1,1,0,"Black"
"99","A690658",1,1,0,"Black"
"100","A695155",0,0,0,"Gray"
"101","A679721",1,1,0,"Tan"
"102","A719113",1,1,0,"Brown"
"103","A665298",0,0,0,"Blue"
"104","A708351",0,0,0,"Black"
"105","A670681",0,0,0,"Torbie"
"106","A699990",1,1,0,"Tan"
"107","A707767",0,0,1,"Brown"
"108","A668362",1,0,0,"Black"
"109","A674577",0,0,0,"White"
"110","A674802",1,0,0,"Black"
"111","A672410",0,0,0,"Tricolor"
"112","A657753",1,1,0,"Yellow"
"113","A663339",1,1,0,"Fawn"
"114","A678229",0,0,1,"Brown"
"115","A698694",1,1,0,"White"
"116","A695971",0,0,1,"Orange"
"117","A674233",0,0,0,"Tan"
"118","A713392",1,1,0,"Black"
"119","A713968",0,0,0,"Calico"
"120","A701428",0,0,0,"Brown"
"121","A676146",0,0,0,"Black"
"122","A679259",0,0,0,"Black"
"123","A688223",1,1,0,"Black"
"124","A691968",0,0,0,"Tortie"
"125","A688871",0,0,0,"Black"
"126","A674530",0,0,0,"Black"
"127","A718604",1,1,0,"White"
"128","A686520",0,0,1,"Brown"
"129","A699094",1,1,0,"Brown"
"130","A394547",1,1,0,"Chocolate"
"131","A662685",1,1,0,"Red"
"132","A713977",0,0,0,"Calico"
"133","A707781",1,1,0,"Black"
"134","A694699",1,0,0,"Black"
"135","A696350",0,0,0,"Brown"
"136","A679102",0,0,0,"Flame"
"137","A698341",0,0,0,"Brown"
"138","A681481",1,1,0,"Blue"
"139","A714177",0,0,0,"Tortie"
"140","A689601",0,0,0,"Tricolor"
"141","A685062",1,1,1,"Orange"
"142","A672453",0,0,1,"Cream"
"143","A719480",1,1,1,"Brown"
"144","A702880",0,0,0,"Calico"
"145","A714494",0,0,0,"Yellow"
"146","A711853",0,0,1,"Brown"
"147","A688720",0,0,0,"Tan"
"148","A689690",1,1,0,"Brown"
"149","A679915",1,1,0,"Black"
"150","A687991",0,0,0,"Calico"
"151","A707896",0,0,1,"Brown"
"152","A702014",1,1,0,"Blue"
"153","A673626",0,0,0,"Tricolor"
"154","A652097",0,0,0,"Brown"
"155","A685180",0,0,0,"Red"
"156","A707442",1,1,0,"Brown"
"157","A682599",0,0,0,"Calico"
"158","A685452",0,0,0,"Red"
"159","A688067",0,0,0,"Torbie"
"160","A714069",1,1,1,"Black"
"161","A705924",1,1,0,"Brown"
"162","A717167",1,1,0,"Black"
"163","A711639",1,0,0,"Tortie"
"164","A716760",1,1,0,"Black"
"165","A709048",1,1,0,"Black"
"166","A719048",0,0,0,"White"
"167","A707437",0,0,0,"Black"
"168","A706387",1,1,1,"Blue"
"169","A720668",0,0,0,"White"
"170","A679341",0,0,1,"Brown"
"171","A690519",0,0,1,"Blue"
"172","A708769",1,1,0,"White"
"173","A681462",1,0,0,"Black"
"174","A666444",0,0,0,"Tortie"
"175","A701153",0,0,0,"Tricolor"
"176","A710071",1,1,0,"White"
"177","A714602",0,0,1,"Brown"
"178","A700707",1,0,0,"Black"
"179","A702563",1,1,0,"White"
"180","A679441",1,1,1,"Cream"
"181","A715729",1,1,0,"White"
"182","A716575",1,1,0,"Tan"
"183","A714462",1,1,0,"White"
"184","A717429",1,1,0,"Brown"
"185","A687336",0,0,1,"Brown"
"186","A713364",1,1,0,"Black"
"187","A701999",1,0,0,"Tan"
"188","A664304",0,0,1,"Orange"
"189","A698066",0,0,0,"White"
"190","A680585",1,1,1,"Brown"
"191","A699715",1,1,0,"White"
"192","A702246",1,1,0,"Black"
"193","A711918",0,0,0,"Red"
"194","A676430",0,0,0,"Torbie"
"195","A677577",1,0,0,"Red"
"196","A683666",1,1,1,"White"
"197","A713754",0,0,0,"Blue"
"198","A703631",1,1,0,"Black"
"199","A676209",0,0,0,"Yellow"
"200","A667508",1,0,0,"Chocolate"
"201","A671105",0,0,0,"Black"
"202","A676056",1,1,0,"Tan"
"203","A667963",1,1,0,"Tan"
"204","A702207",1,1,1,"Orange"
"205","A672065",0,0,0,"Sable"
"206","A688852",1,1,0,"Black"
"207","A705885",0,0,0,"Black"
"208","A670949",0,0,0,"Tricolor"
"209","A665666",0,0,0,"Black"
"210","A714575",0,0,0,"Black"
"211","A690480",1,1,0,"Chocolate"
"212","A691636",1,1,0,"White"
"213","A678482",1,1,0,"Black"
"214","A687785",1,1,0,"Brown"
"215","A716839",1,1,0,"Brown"
"216","A718547",1,1,0,"Tan"
"217","A687989",0,0,0,"Calico"
"218","A694408",1,1,0,"Brown"
"219","A698940",1,1,1,"Brown"
"220","A666074",0,0,1,"Brown"
"221","A675549",1,1,0,"White"
"222","A682131",0,0,1,"Brown"
"223","A674737",0,0,0,"Black"
"224","A719876",1,1,0,"White"
"225","A676626",1,1,0,"Brown"
"226","A666478",1,1,0,"Black"
"227","A683507",0,0,0,"Buff"
"228","A487470",0,0,0,"Black"
"229","A665661",1,1,0,"White"
"230","A668260",1,1,0,"Black"
"231","A716964",1,1,0,"Black"
"232","A701029",0,0,0,"Brown"
"233","A668506",1,0,0,"Brown"
"234","A684709",1,1,1,"Brown"
"235","A616229",1,1,0,"Black"
"236","A680336",1,1,1,"Orange"
"237","A701898",1,0,0,"Tan"
"238","A666971",1,1,1,"Orange"
"239","A691605",0,0,0,"Brown"
"240","A703244",1,1,1,"Brown"
"241","A705111",1,0,0,"Brown"
"242","A685460",0,0,0,"Flame"
"243","A716890",1,1,1,"Brown"
"244","A715741",0,0,0,"Red"
"245","A676334",0,0,0,"Black"
"246","A668122",1,1,0,"Liver"
"247","A702356",1,1,1,"White"
"248","A664842",1,1,0,"Brown"
"249","A709067",1,1,0,"Black"
"250","A608918",1,1,0,"Black"
"251","A651596",0,0,0,"Buff"
"252","A720190",0,0,0,"Tricolor"
"253","A676609",0,0,0,"Brown"
"254","A666504",1,1,1,"Orange"
"255","A693272",1,0,0,"Black"
"256","A711607",1,1,0,"White"
"257","A713337",0,0,0,"Blue"
"258","A672758",1,1,0,"Tan"
"259","A658690",1,1,0,"Black"
"260","A708390",1,1,0,"Black"
"261","A703383",0,0,0,"Buff"
"262","A689749",0,0,1,"Brown"
"263","A699816",0,0,0,"Tan"
"264","A701791",1,1,1,"Brown"
"265","A625690",1,1,0,"White"
"266","A686406",1,0,0,"Tan"
"267","A710318",1,1,0,"Brown"
"268","A698972",1,0,0,"Black"
"269","A710380",0,0,1,"Brown"
"270","A683309",1,1,0,"Tan"
"271","A640316",0,0,0,"Black"
"272","A682760",1,1,0,"White"
"273","A701707",0,0,1,"Orange"
"274","A669534",0,0,1,"Orange"
"275","A588218",1,0,0,"Black"
"276","A669795",1,0,0,"Black"
"277","A674448",1,1,0,"White"
"278","A701647",0,0,0,"Black"
"279","A672467",1,1,0,"Fawn"
"280","A712244",1,1,0,"Black"
"281","A677462",0,0,0,"Blue"
"282","A715761",0,0,0,"Calico"
"283","A720860",1,1,0,"Chocolate"
"284","A701337",0,0,0,"Cream"
"285","A710881",0,0,1,"Orange"
"286","A663948",1,1,0,"Black"
"287","A699819",1,1,0,"Chocolate"
"288","A674638",0,0,0,"Chocolate"
"289","A718743",1,1,0,"Gray"
"290","A714820",0,0,0,"Brown"
"291","A667613",1,1,0,"Tan"
"292","A696059",1,1,0,"Tan"
"293","A690806",1,1,0,"Black"
"294","A676494",1,1,0,"Black"
