"AnimalID","Life_Stage"
"A671945","baby"
"A656520","baby"
"A686464","teenage"
"A683430","infant"
"A667013","teenage"
"A677334","infant"
"A699218","infant"
"A701489","infant"
"A671784","baby"
"A677747","baby"
"A668402","teenage"
"A666320","teenage"
"A684601","adult"
"A704702","teenage"
"A688584","baby"
"A678825","baby"
"A678050","infant"
"A680028","infant"
"A679010","teenage"
"A684787","baby"
"A670658","baby"
"A708812","baby"
"A705262","teenage"
"A665781","baby"
"A676333","baby"
"A712750","infant"
"A718832","baby"
"A698777","adult"
"A715348","baby"
"A708666","adult"
"A718535","teenage"
"A707341","baby"
"A682532","baby"
"A666825","adult"
"A699723","teenage"
"A668626","teenage"
"A657085","teenage"
"A682413","baby"
"A702655","baby"
"A707503","infant"
"A697199","adult"
"A705598","baby"
"A668388","baby"
"A671181","adult"
"A676766","teenage"
"A686716","senior"
"A684475","senior"
"A701804","infant"
"A697852","baby"
"A666092","adult"
"A684050","baby"
"A710107","baby"
"A682347","infant"
"A701627","teenage"
"A690902","baby"
"A712979","infant"
"A707687","baby"
"A683443","baby"
"A597644","adult"
"A682784","teenage"
"A709863","baby"
"A678506","senior"
"A713029","infant"
"A712236","teenage"
"A683961","infant"
"A714740","adult"
"A691847","baby"
"A711392","baby"
"A705258","baby"
"A678172","baby"
"A676736","baby"
"A701575","teenage"
"A674913","teenage"
"A706446","baby"
"A669540","adult"
"A709371","teenage"
"A681410","baby"
"A675021","baby"
"A704179","baby"
"A717839","teenage"
"A700740","baby"
"A712376","infant"
"A703952","infant"
"A713690","teenage"
"A691838","senior"
"A687789","baby"
"A704754","baby"
"A707531","infant"
"A677594","baby"
"A667155","baby"
"A717147","baby"
"A687012","teenage"
"A676200","adult"
"A676680","teenage"
"A688443","baby"
"A715261","senior"
"A717008","baby"
"A683416","baby"
"A690658","teenage"
"A695155","teenage"
"A679721","adult"
"A719113","adult"
"A665298","infant"
"A708351","infant"
"A670681","adult"
"A699990","adult"
"A707767","baby"
"A668362","teenage"
"A674577","teenage"
"A674802","senior"
"A672410","adult"
"A657753","baby"
"A663339","teenage"
"A678229","infant"
"A698694","baby"
"A695971","adult"
"A674233","baby"
"A713392","baby"
"A713968","infant"
"A701428","teenage"
"A676146","adult"
"A679259","senior"
"A688223","baby"
"A691968","adult"
"A688871","baby"
"A674530","adult"
"A718604","baby"
"A686520","baby"
"A699094","teenage"
"A394547","senior"
"A662685","teenage"
"A713977","teenage"
"A707781","baby"
"A694699","teenage"
"A696350","baby"
"A679102","teenage"
"A698341","teenage"
"A681481","teenage"
"A714177","baby"
"A689601","infant"
"A685062","baby"
"A672453","baby"
"A719480","teenage"
"A702880","baby"
"A714494","baby"
"A711853","baby"
"A688720","baby"
"A689690","baby"
"A679915","baby"
"A687991","infant"
"A707896","teenage"
"A702014","baby"
"A673626","baby"
"A652097","teenage"
"A685180","teenage"
"A707442","teenage"
"A682599","baby"
"A685452","baby"
"A688067","baby"
"A714069","baby"
"A705924","adult"
"A717167","adult"
"A711639","infant"
"A716760","baby"
"A709048","baby"
"A719048","senior"
"A707437","baby"
"A706387","infant"
"A720668","baby"
"A679341","infant"
"A690519","baby"
"A708769","baby"
"A681462","teenage"
"A666444","senior"
"A701153","baby"
"A710071","baby"
"A714602","baby"
"A700707","infant"
"A702563","adult"
"A679441","infant"
"A715729","adult"
"A716575","teenage"
"A714462","baby"
"A717429","teenage"
"A687336","infant"
"A713364","baby"
"A701999","teenage"
"A664304","baby"
"A698066","adult"
"A680585","baby"
"A699715","adult"
"A702246","baby"
"A711918","teenage"
"A676430","baby"
"A677577","baby"
"A683666","baby"
"A713754","baby"
"A703631","baby"
"A676209","baby"
"A667508","adult"
"A671105","baby"
"A676056","teenage"
"A667963","adult"
"A702207","senior"
"A672065","teenage"
"A688852","adult"
"A705885","baby"
"A670949","baby"
"A665666","baby"
"A714575","geriatric"
"A690480","infant"
"A691636","baby"
"A678482","teenage"
"A687785","teenage"
"A716839","teenage"
"A718547","teenage"
"A687989","infant"
"A694408","baby"
"A698940","teenage"
"A666074","infant"
"A675549","adult"
"A682131","infant"
"A674737","baby"
"A719876","baby"
"A676626","baby"
"A666478","baby"
"A683507","teenage"
"A487470","senior"
"A665661","teenage"
"A668260","adult"
"A716964","teenage"
"A701029","teenage"
"A668506","adult"
"A684709","baby"
"A616229","adult"
"A680336","baby"
"A701898","baby"
"A666971","baby"
"A691605","adult"
"A703244","baby"
"A705111","teenage"
"A685460","adult"
"A716890","baby"
"A715741","teenage"
"A676334","teenage"
"A668122","adult"
"A702356","infant"
"A664842","teenage"
"A709067","baby"
"A608918","adult"
"A651596","teenage"
"A720190","adult"
"A676609","baby"
"A666504","infant"
"A693272","infant"
"A711607","baby"
"A713337","teenage"
"A672758","adult"
"A658690","baby"
"A708390","teenage"
"A703383","senior"
"A689749","baby"
"A699816","senior"
"A701791","teenage"
"A625690","adult"
"A686406","baby"
"A710318","adult"
"A698972","adult"
"A710380","infant"
"A683309","adult"
"A640316","baby"
"A682760","baby"
"A701707","infant"
"A669534","baby"
"A588218","adult"
"A669795","teenage"
"A674448","baby"
"A701647","baby"
"A672467","baby"
"A712244","infant"
"A677462","infant"
"A715761","adult"
"A720860","baby"
"A701337","baby"
"A710881","baby"
"A663948","baby"
"A699819","senior"
"A674638","adult"
"A718743","teenage"
"A714820","baby"
"A667613","baby"
"A696059","teenage"
"A690806","baby"
"A676494","baby"
"A689138","infant"
"A599155","adult"
"A665587","senior"
"A663555","baby"
"A691345","baby"
"A685242","baby"
"A674659","teenage"
"A683609","adult"
"A695710","baby"
"A713063","baby"
"A667520","adult"
"A685145","baby"
"A716488","teenage"
"A667537","baby"
"A694601","baby"
"A638060","senior"
"A672067","teenage"
"A684664","teenage"
"A691531","baby"
"A688600","infant"
"A704032","baby"
"A703630","adult"
"A668671","adult"
"A696247","teenage"
"A664380","baby"
"A678185","teenage"
"A687055","senior"
"A693594","baby"
"A675563","baby"
"A696819","baby"
"A671201","senior"
"A715573","baby"
"A685899","baby"
"A669510","baby"
"A697892","baby"
"A678958","baby"
"A679113","infant"
"A671079","teenage"
"A687180","baby"
"A686632","baby"
"A693999","adult"
"A691614","baby"
"A683070","infant"
"A703781","adult"
"A668803","baby"
"A675983","baby"
"A684825","infant"
"A667828","baby"
"A707611","baby"
"A677885","teenage"
"A675622","baby"
"A720143","baby"
"A701793","baby"
"A682824","baby"
"A711494","baby"
"A686319","adult"
"A671251","teenage"
"A684978","infant"
"A689449","baby"
"A715812","baby"
"A681003","teenage"
"A715346","baby"
"A683732","infant"
"A679956","baby"
"A695297","baby"
"A695950","teenage"
"A694278","adult"
"A707887","baby"
"A710227","senior"
"A686918","teenage"
"A693739","baby"
"A711807","teenage"
"A677157","senior"
"A697921","baby"
"A686691","teenage"
"A678627","infant"
"A698117","infant"
"A656110","baby"
"A690723","baby"
"A678099","teenage"
"A717989","adult"
"A673784","baby"
"A699927","senior"
"A671889","adult"
"A697627","teenage"
"A685945","adult"
"A689951","baby"
"A699499","baby"
"A715735","baby"
"A688501","baby"
"A672263","teenage"
"A672744","teenage"
"A701165","infant"
"A702973","infant"
"A705338","infant"
"A696609","teenage"
"A714481","baby"
"A685178","infant"
"A689596","teenage"
"A714546","baby"
"A671352","teenage"
"A705656","infant"
"A695943","teenage"
"A719517","teenage"
"A682535","baby"
"A713263","teenage"
"A681679","baby"
"A687906","infant"
"A678536","baby"
"A718585","baby"
"A543073","senior"
"A697959","teenage"
"A715378","baby"
"A697281","baby"
"A681576","infant"
"A716400","baby"
"A677460","teenage"
"A675049","teenage"
"A710655","baby"
"A660046","teenage"
"A660910","teenage"
"A686377","baby"
"A679631","senior"
"A671682","teenage"
"A695654","baby"
"A718566","senior"
"A680351","baby"
"A680506","baby"
"A650694","baby"
"A681414","teenage"
"A714972","baby"
"A682833","baby"
"A698953","adult"
"A696584","teenage"
"A690020","baby"
"A716340","baby"
"A707004","baby"
"A667031","teenage"
"A667129","baby"
"A700119","infant"
"A676270","baby"
"A684362","baby"
"A712984","baby"
"A688544","infant"
"A663346","baby"
"A665221","infant"
"A667366","teenage"
"A657652","teenage"
"A611032","adult"
"A707464","baby"
"A687966","baby"
"A643703","teenage"
"A668595","infant"
"A716197","baby"
"A713418","baby"
"A711562","baby"
"A716766","adult"
"A616576","adult"
"A705109","baby"
"A663819","teenage"
"A689629","infant"
"A713084","adult"
"A699468","baby"
"A700335","teenage"
"A713668","infant"
"A695428","baby"
"A653055","teenage"
"A682724","baby"
"A713886","baby"
"A668396","senior"
"A717176","infant"
"A707573","senior"
"A690543","baby"
"A704459","senior"
"A687643","infant"
"A675640","teenage"
"A694435","teenage"
"A668653","teenage"
"A705804","teenage"
"A706506","infant"
"A702756","infant"
"A674264","baby"
"A665741","adult"
"A510475","adult"
"A641103","teenage"
"A660275","teenage"
"A716089","teenage"
"A717706","baby"
"A716729","baby"
"A690333","baby"
"A688552","baby"
"A698495","baby"
"A658728","baby"
"A672515","baby"
"A686675","baby"
"A707682","baby"
"A667942","baby"
"A709224","baby"
"A687003","adult"
"A711255","infant"
"A680426","teenage"
"A697537","teenage"
"A695905","baby"
"A705731","baby"
"A700025","senior"
"A624771","adult"
"A715798","infant"
"A526641","adult"
"A695768","baby"
"A709277","baby"
"A586923","adult"
"A682900","teenage"
"A671435","infant"
"A701297","infant"
"A711800","infant"
"A707972","infant"
"A697766","baby"
"A665644","infant"
"A664059","senior"
"A676752","infant"
"A720466","senior"
"A716110","baby"
"A703750","teenage"
"A696236","teenage"
"A670716","senior"
"A673103","teenage"
"A688281","baby"
"A666109","baby"
"A700948","senior"
"A689384","baby"
"A671054","baby"
"A679167","adult"
"A702935","teenage"
"A680027","infant"
"A691171","baby"
"A693032","senior"
"A663585","baby"
"A586222","teenage"
"A692591","adult"
"A675402","adult"
"A700765","baby"
"A657197","baby"
"A715843","adult"
"A691568","adult"
"A665953","senior"
"A681155","teenage"
"A714509","baby"
"A702846","baby"
"A685087","baby"
"A718953","baby"
"A668708","adult"
"A703243","baby"
"A706454","teenage"
"A668697","teenage"
"A717656","teenage"
"A681176","infant"
"A663020","baby"
"A717029","teenage"
"A717056","adult"
"A705794","infant"
"A695093","adult"
"A707083","baby"
"A670540","adult"
"A687554","baby"
"A715898","teenage"
"A709799","infant"
"A680245","teenage"
"A681404","baby"
"A666083","infant"
"A711832","infant"
"A719849","baby"
"A683147","baby"
"A680380","infant"
"A716898","teenage"
"A666137","senior"
"A693627","teenage"
"A717028","baby"
"A561786","senior"
"A694394","teenage"
"A705347","baby"
"A688254","baby"
"A710692","baby"
"A699314","infant"
"A718492","baby"
"A687303","infant"
"A689090","baby"
"A701193","baby"
"A701656","infant"
"A712861","baby"
"A693761","teenage"
"A681539","senior"
"A593726","teenage"
"A670643","teenage"
"A682762","teenage"
"A683352","baby"
"A673275","teenage"
"A679058","adult"
"A693059","baby"
"A684998","senior"
"A682578","infant"
"A695371","baby"
"A707260","adult"
"A701537","teenage"
"A691647","baby"
"A720615","baby"
"A666565","baby"
"A694848","infant"
"A673652","teenage"
"A703267","infant"
"A689729","baby"
"A667398","baby"
"A687252","baby"
"A695690","baby"
"A717907","baby"
"A681932","baby"
"A664945","senior"
"A657904","teenage"
"A670155","baby"
"A686404","infant"
"A711802","infant"
"A688226","baby"
"A535012","adult"
"A660604","baby"
"A683456","teenage"
"A721025","senior"
"A705505","infant"
"A715502","baby"
"A683654","baby"
"A716802","baby"
"A681563","infant"
"A679384","baby"
"A705433","infant"
"A683392","baby"
"A683817","baby"
"A690588","baby"
"A704672","infant"
"A701434","infant"
"A681972","baby"
"A702984","baby"
"A663997","teenage"
"A711472","baby"
"A695687","teenage"
"A697554","baby"
"A694674","baby"
"A664593","teenage"
"A719307","baby"
"A705519","baby"
"A689744","teenage"
"A676154","baby"
"A713410","teenage"
"A700056","baby"
"A689897","teenage"
"A687423","baby"
"A694865","baby"
"A718299","adult"
"A680305","baby"
"A674160","senior"
"A642711","teenage"
"A665445","baby"
"A687378","baby"
"A675416","baby"
"A666731","baby"
"A699613","teenage"
"A688594","baby"
"A710122","baby"
"A665579","baby"
"A678709","baby"
"A698216","baby"
"A690256","baby"
"A711134","teenage"
"A719354","baby"
"A689347","infant"
"A683437","infant"
"A691943","baby"
"A680552","baby"
"A708817","baby"
"A694190","senior"
"A478579","senior"
"A713897","infant"
"A705521","baby"
"A705654","infant"
"A612816","adult"
"A683518","senior"
"A680524","senior"
"A717718","baby"
"A699353","teenage"
"A654355","baby"
"A684013","baby"
"A712201","infant"
"A701831","teenage"
"A707618","baby"
"A699602","adult"
"A703191","baby"
"A688823","baby"
"A709479","adult"
"A694794","baby"
"A690725","baby"
"A676524","baby"
"A691032","teenage"
"A693693","teenage"
"A679815","infant"
"A679552","baby"
"A668484","teenage"
"A689856","baby"
"A681407","teenage"
"A605352","adult"
"A690290","baby"
"A718929","adult"
"A708602","baby"
"A676191","baby"
"A697174","baby"
"A665786","geriatric"
"A522809","senior"
"A679337","baby"
"A660950","baby"
"A708064","baby"
"A671257","teenage"
"A664213","infant"
"A670629","baby"
"A704979","infant"
"A703922","baby"
"A686684","senior"
"A449107","adult"
"A720432","adult"
"A698633","senior"
"A710884","baby"
"A677755","senior"
"A720442","baby"
"A705881","teenage"
"A672337","baby"
"A668477","infant"
"A708716","baby"
"A664347","infant"
"A717099","baby"
"A489376","senior"
"A694544","baby"
"A677576","adult"
"A689653","teenage"
"A712959","adult"
"A654616","baby"
"A644525","teenage"
"A677236","baby"
"A669142","infant"
"A713441","teenage"
"A704432","infant"
"A698794","baby"
"A271790","senior"
"A682106","infant"
"A667035","teenage"
"A698029","baby"
"A701199","baby"
"A711920","teenage"
"A718991","baby"
"A669173","baby"
"A682501","baby"
"A714364","baby"
"A714741","teenage"
"A676304","baby"
"A669888","teenage"
"A686104","baby"
"A716126","teenage"
"A688523","baby"
"A710538","baby"
"A687319","teenage"
"A716622","teenage"
"A720428","baby"
"A719294","infant"
"A690840","infant"
"A692374","baby"
"A670333","teenage"
"A680224","infant"
"A663623","baby"
"A665213","teenage"
"A680156","baby"
"A685580","infant"
"A706565","baby"
"A706951","teenage"
"A694012","senior"
"A703126","baby"
"A664116","baby"
"A672395","teenage"
"A689583","baby"
"A705677","teenage"
"A521273","adult"
"A693655","baby"
"A679098","baby"
"A649782","adult"
"A684378","infant"
"A661384","baby"
"A693077","adult"
"A682994","adult"
"A665279","baby"
"A708871","baby"
"A711718","baby"
"A695323","baby"
"A684585","baby"
"A670417","adult"
"A686558","teenage"
"A715965","teenage"
"A669406","teenage"
"A673234","teenage"
"A640778","baby"
"A697529","adult"
"A712616","teenage"
"A709165","infant"
"A713318","baby"
"A709953","teenage"
"A669208","baby"
"A712316","infant"
"A683269","baby"
"A675323","baby"
"A640789","teenage"
"A700861","baby"
"A694584","teenage"
"A666961","teenage"
"A713375","adult"
"A705192","senior"
"A697260","baby"
"A678131","teenage"
"A685318","infant"
"A668898","adult"
"A679505","baby"
"A622844","adult"
"A681814","adult"
"A683148","baby"
"A681774","baby"
"A625640","teenage"
"A694070","teenage"
"A714966","infant"
"A667732","teenage"
"A668353","teenage"
"A689857","baby"
"A676996","teenage"
"A627488","senior"
"A717663","teenage"
"A503376","adult"
"A690375","baby"
"A716821","adult"
"A720081","infant"
"A674724","adult"
"A684278","infant"
"A715501","baby"
"A683206","baby"
"A669506","teenage"
"A690406","adult"
"A669449","senior"
"A671155","teenage"
"A696045","teenage"
"A695583","baby"
"A681018","baby"
"A679408","baby"
"A680876","teenage"
"A694393","adult"
"A668566","baby"
"A689603","infant"
"A704863","baby"
"A666197","teenage"
"A665421","baby"
"A670405","teenage"
"A701522","baby"
"A709394","baby"
"A698919","baby"
"A671558","teenage"
"A716379","teenage"
"A699795","adult"
"A715241","adult"
"A665137","baby"
"A682889","baby"
"A720093","teenage"
"A684008","infant"
"A679240","infant"
"A671950","adult"
"A669264","baby"
"A720299","baby"
"A691815","teenage"
"A595090","adult"
"A681786","infant"
"A630814","senior"
"A699826","infant"
"A692750","baby"
"A713030","infant"
"A697353","teenage"
"A513770","senior"
"A681473","infant"
"A684560","baby"
"A659205","baby"
"A676542","baby"
"A294132","senior"
"A667378","baby"
"A697387","senior"
"A683606","baby"
"A681575","infant"
"A664831","infant"
"A675309","infant"
"A694404","baby"
"A714919","baby"
"A700103","baby"
"A715026","baby"
"A673061","teenage"
"A678766","infant"
"A676528","adult"
"A720236","baby"
"A702777","baby"
"A716397","baby"
