AnimalID,Name,popular_name,human_name
A671945,Hambone,N,N
A656520,Emily,Y,Y
A686464,Pearce,N,N
A683430,,N,N
A667013,,N,N
A677334,Elsa,N,N
A699218,Jimmy,N,Y
A701489,,N,N
A671784,Lucy,N,Y
A677747,,N,N
A668402,,N,N
A666320,,N,N
A684601,Rocket,N,N
A704702,Scooter,N,N
A688584,Preston,N,Y
A678825,Oliver,N,Y
A678050,,N,N
A680028,,N,N
A679010,Chrissy,N,N
A684787,Kuma,N,N
A670658,Anders,N,N
A708812,Munchkin,N,N
A705262,Jamaica,N,N
A665781,Quattro,N,N
A676333,Trigger,N,N
A712750,Olive,N,Y
A718832,Nia,N,N
A698777,Chloe,N,Y
A715348,Cymbale,N,N
A708666,Jax,N,N
A718535,,N,N
A707341,Murphy,N,N
A682532,,N,N
A666825,Jesse,Y,Y
A699723,Delgado,N,N
A668626,,N,N
A657085,Pony Boy,N,N
A682413,,N,N
A702655,Mica,N,N
A707503,,N,N
A697199,Pilar,N,N
A705598,,N,N
A668388,Lucy,N,Y
A671181,,N,N
A676766,Ali,N,N
A686716,Chester,N,Y
A684475,Daisy,N,Y
A701804,,N,N
A697852,Edith,N,Y
A666092,,N,N
A684050,,N,N
A710107,Caty,N,N
A682347,,N,N
A701627,Gabe,N,N
A690902,Beth,N,Y
A712979,,N,N
A707687,Bashful,N,N
A683443,,N,N
A597644,Lola,N,Y
A682784,Sugar,N,N
A709863,Orangejello,N,N
A678506,Prec Punkin',N,N
A713029,Wilma,N,Y
A712236,Bella,N,Y
A683961,,N,N
A714740,Chiquita,N,N
A691847,Hero,N,N
A711392,Molly,N,Y
A705258,,N,N
A678172,Bella,N,Y
A676736,Chili,N,N
A701575,Hastings,N,N
A674913,,N,N
A706446,Tootsie,N,N
A669540,Snookie,N,N
A709371,Abby,N,Y
A681410,Nym,N,N
A675021,,N,N
A704179,Zeus,N,N
A717839,,N,N
A700740,Charlie,N,Y
A712376,,N,N
A703952,Taco,N,N
A713690,,N,N
A691838,Avaddon,N,N
A687789,,N,N
A704754,Arthur,Y,Y
A707531,,N,N
A677594,,N,N
A667155,,N,N
A717147,Freeway,N,N
A687012,Chloe,N,Y
A676200,Georgia,N,Y
A676680,Hero,N,N
A688443,Thelma,N,Y
A715261,Darcy,N,N
A717008,Taz,N,N
A683416,,N,N
A690658,,N,N
A695155,,N,N
A679721,Poppy,N,N
A719113,Dexter,N,N
A665298,,N,N
A708351,,N,N
A670681,Matty,N,N
A699990,Chubbs,N,N
A707767,Lilly,N,Y
A668362,Minnie,N,Y
A674577,Santiago,N,Y
A674802,Franklin,N,Y
A672410,Myles,N,N
A657753,Wiz,N,N
A663339,Abby,N,Y
A678229,,N,N
A698694,Boss,N,N
A695971,,N,N
A674233,Missy,N,N
A713392,Basil,N,N
A713968,Katydid,N,N
A701428,Kiki,N,N
A676146,Desmo,N,N
A679259,Pablo,N,N
A688223,,N,N
