AnimalID,Age_Days,sex,fertile
A671945,365,Male,N
A656520,365,Female,N
A686464,730,Male,N
A683430,3,Male,Y
A667013,730,Male,N
A677334,30,Female,Y
A699218,3,Male,Y
A701489,3,Unknown,Unknown
A671784,150,Female,N
A677747,365,Female,N
A668402,730,Unknown,Unknown
A666320,730,Female,N
A684601,1460,Male,N
A704702,730,Male,N
A688584,365,Male,N
A678825,90,Male,N
A678050,3,Male,Y
A680028,2,Female,Y
A679010,730,Female,Y
A684787,365,Male,N
A670658,60,Male,Y
A708812,365,Female,N
A705262,730,Female,N
A665781,300,Male,N
A676333,60,Male,N
A712750,30,Female,Y
A718832,180,Female,N
A698777,1825,Female,N
A715348,60,Female,N
A708666,2555,Male,N
A718535,1095,Female,N
A707341,120,Male,Y
A682532,60,Female,N
A666825,1825,Male,N
A699723,1095,Male,N
A668626,1095,Male,Y
A657085,1095,Male,N
A682413,60,Male,Y
A702655,120,Male,N
A707503,3,Male,Y
A697199,2555,Female,N
A705598,60,Male,Y
A668388,60,Female,Y
A671181,1460,Male,Y
A676766,730,Male,N
A686716,4380,Male,N
A684475,3285,Female,N
A701804,3,Female,Y
A697852,150,Female,N
A666092,2190,Male,Y
A684050,365,Female,Y
A710107,90,Female,N
A682347,3,Female,Y
A701627,730,Male,N
A690902,60,Female,N
A712979,1,Male,Y
A707687,60,Female,N
A683443,365,Male,Y
A597644,1460,Female,N
A682784,730,Male,N
A709863,365,Male,Y
A678506,4015,Female,N
A713029,30,Female,Y
A712236,730,Female,N
A683961,2,Unknown,Unknown
A714740,2190,Female,N
A691847,180,Male,N
A711392,60,Female,Y
A705258,60,Unknown,Unknown
A678172,365,Female,N
A676736,60,Male,N
A701575,730,Male,N
A674913,1095,Female,N
A706446,365,Female,Y
A669540,1460,Female,N
A709371,730,Female,N
A681410,90,Female,N
A675021,365,Female,Y
A704179,60,Male,N
A717839,730,Female,N
A700740,365,Male,N
A712376,2,Unknown,Unknown
A703952,4,Unknown,Unknown
A713690,730,Male,Y
A691838,4380,Male,N
A687789,365,Male,N
A704754,60,Male,N
A707531,2,Male,Y
A677594,90,Female,Y
A667155,90,Female,N
A717147,150,Male,N
A687012,1095,Female,N
A676200,2555,Female,N
A676680,730,Female,N
A688443,120,Female,N
A715261,3285,Female,N
A717008,210,Male,N
A683416,60,Male,N
A690658,1095,Male,Y
A695155,1095,Male,N
A679721,1825,Male,N
A719113,1825,Male,N
A665298,2,Female,Y
A708351,2,Unknown,Unknown
A670681,1460,Female,N
A699990,1460,Male,N
A707767,60,Male,N
A668362,730,Female,N
A674577,730,Male,N
A674802,3285,Male,N
A672410,1825,Male,N
A657753,365,Male,N
A663339,730,Female,N
A678229,3,Male,Y
A698694,150,Male,Y
A695971,2190,Male,Y
A674233,365,Female,N
A713392,90,Male,Y
A713968,30,Female,Y
A701428,1095,Female,N
A676146,1825,Male,N
A679259,2920,Male,N
A688223,60,Female,N
A691968,2555,Female,Y
A688871,60,Female,Y
A674530,1825,Male,N
A718604,365,Male,N
A686520,90,Male,Y
A699094,730,Male,N
A394547,3285,Female,N
A662685,1095,Female,N
A713977,1095,Female,N
A707781,365,Female,N
A694699,730,Female,N
A696350,365,Female,N
A679102,730,Male,N
A698341,730,Female,N
A681481,730,Female,Y
A714177,90,Unknown,Unknown
A689601,30,Female,N
A685062,60,Male,N
A672453,300,Male,N
A719480,730,Female,N
A702880,60,Female,N
A714494,180,Male,N
A711853,60,Female,N
A688720,365,Female,N
A689690,180,Female,Y
A679915,365,Female,N
A687991,3,Male,Y
A707896,730,Male,N
A702014,330,Female,N
A673626,90,Male,N
A652097,730,Female,N
A685180,730,Male,N
A707442,730,Male,N
A682599,120,Female,N
A685452,120,Female,Y
A688067,150,Female,Y
A714069,60,Male,N
A705924,2555,Male,N
A717167,1460,Male,N
A711639,3,Female,Y
A716760,180,Male,N
A709048,150,Female,Y
A719048,2920,Female,N
A707437,60,Male,N
A706387,30,Female,N
A720668,150,Female,N
A679341,30,Male,Y
A690519,120,Male,Y
A708769,365,Female,N
A681462,730,Male,N
A666444,4015,Female,N
A701153,60,Male,N
A710071,60,Male,N
A714602,60,Female,Y
A700707,30,Female,N
A702563,2555,Female,N
A679441,4,Male,Y
A715729,1460,Male,N
A716575,730,Female,N
A714462,365,Female,N
A717429,730,Male,N
A687336,4,Female,Y
A713364,365,Female,Y
A701999,730,Female,N
A664304,300,Male,Y
A698066,1460,Female,N
A680585,120,Female,N
A699715,2190,Female,N
A702246,270,Female,N
A711918,1095,Female,N
A676430,240,Female,N
A677577,300,Female,N
A683666,365,Male,N
A713754,365,Male,N
A703631,365,Male,N
