"","Name","AnimalID","sentiment_score","sentiment_desc"
"1","","A701489",-1,"Negative"
"2","","A666320",-1,"Negative"
"3","","A676271",-1,"Negative"
"4","","A668402",-1,"Negative"
"5","","A675018",-1,"Negative"
"6","","A677095",-1,"Negative"
"7","","A683430",-1,"Negative"
"8","","A694779",-1,"Negative"
"9","","A683912",-1,"Negative"
"10","","A678800",-1,"Negative"
"11","","A683058",-1,"Negative"
"12","","A676543",-1,"Negative"
"13","","A707695",-1,"Negative"
"14","","A670044",-1,"Negative"
"15","","A682413",-1,"Negative"
"16","","A700577",-1,"Negative"
"17","","A698040",-1,"Negative"
"18","","A692800",-1,"Negative"
"19","","A719489",-1,"Negative"
"20","","A702282",-1,"Negative"
"21","","A667013",-1,"Negative"
"22","","A679502",-1,"Negative"
"23","","A691562",-1,"Negative"
"24","","A675353",-1,"Negative"
"25","","A701804",-1,"Negative"
"26","","A666162",-1,"Negative"
"27","","A666092",-1,"Negative"
"28","","A684050",-1,"Negative"
"29","","A678992",-1,"Negative"
"30","","A707503",-1,"Negative"
"31","","A719255",-1,"Negative"
"32","","A665948",-1,"Negative"
"33","","A712979",-1,"Negative"
"34","","A671181",-1,"Negative"
"35","","A680028",-1,"Negative"
"36","","A688912",-1,"Negative"
"37","","A710274",-1,"Negative"
"38","","A666517",-1,"Negative"
"39","","A686599",-1,"Negative"
"40","","A720655",-1,"Negative"
"41","","A682577",-1,"Negative"
"42","","A683961",-1,"Negative"
"43","","A673396",-1,"Negative"
"44","","A700424",-1,"Negative"
"45","","A679522",-1,"Negative"
"46","","A705258",-1,"Negative"
"47","","A686564",-1,"Negative"
"48","","A699673",-1,"Negative"
"49","","A704372",-1,"Negative"
"50","","A682532",-1,"Negative"
"51","","A702398",-1,"Negative"
"52","","A719257",-1,"Negative"
"53","","A668626",-1,"Negative"
"54","","A689084",-1,"Negative"
"55","","A675021",-1,"Negative"
"56","","A666605",-1,"Negative"
"57","","A717839",-1,"Negative"
"58","","A693864",-1,"Negative"
"59","","A712376",-1,"Negative"
"60","","A701287",-1,"Negative"
"61","","A713690",-1,"Negative"
"62","","A671045",-1,"Negative"
"63","","A687789",-1,"Negative"
"64","","A689839",-1,"Negative"
"65","","A707531",-1,"Negative"
"66","","A677594",-1,"Negative"
"67","","A667155",-1,"Negative"
"68","","A712293",-1,"Negative"
"69","","A671535",-1,"Negative"
"70","","A682347",-1,"Negative"
"71","","A677941",-1,"Negative"
"72","","A694204",-1,"Negative"
"73","","A681871",-1,"Negative"
"74","","A690669",-1,"Negative"
"75","","A683443",-1,"Negative"
"76","","A690658",-1,"Negative"
"77","","A695155",-1,"Negative"
"78","","A681339",-1,"Negative"
"79","","A682345",-1,"Negative"
"80","","A665298",-1,"Negative"
"81","","A708351",-1,"Negative"
"82","","A687733",-1,"Negative"
"83","","A664386",-1,"Negative"
"84","","A694790",-1,"Negative"
"85","","A719277",-1,"Negative"
"86","","A683071",-1,"Negative"
"87","","A690518",-1,"Negative"
"88","","A702352",-1,"Negative"
"89","","A710583",-1,"Negative"
"90","","A711452",-1,"Negative"
"91","","A678229",-1,"Negative"
"92","","A691702",-1,"Negative"
"93","","A707394",-1,"Negative"
"94","","A676073",-1,"Negative"
"95","","A701715",-1,"Negative"
"96","","A694691",-1,"Negative"
"97","","A681406",-1,"Negative"
"98","","A683354",-1,"Negative"
"99","","A697423",-1,"Negative"
"100","","A688223",-1,"Negative"
"101","","A691968",-1,"Negative"
"102","","A716661",-1,"Negative"
"103","","A718173",-1,"Negative"
"104","","A665640",-1,"Negative"
"105","","A686520",-1,"Negative"
"106","","A674563",-1,"Negative"
"107","","A697211",-1,"Negative"
"108","","A677747",-1,"Negative"
"109","","A691441",-1,"Negative"
"110","","A666354",-1,"Negative"
"111","","A665368",-1,"Negative"
"112","","A692295",-1,"Negative"
"113","","A664388",-1,"Negative"
"114","","A713432",-1,"Negative"
"115","","A683416",-1,"Negative"
"116","","A714177",-1,"Negative"
"117","","A678481",-1,"Negative"
"118","","A685062",-1,"Negative"
"119","","A672453",-1,"Negative"
"120","","A682972",-1,"Negative"
"121","","A703526",-1,"Negative"
"122","","A680998",-1,"Negative"
"123","","A704443",-1,"Negative"
"124","","A688720",-1,"Negative"
"125","","A675803",-1,"Negative"
"126","","A700826",-1,"Negative"
"127","","A687991",-1,"Negative"
"128","","A696600",-1,"Negative"
"129","","A718535",-1,"Negative"
"130","","A673626",-1,"Negative"
"131","","A686524",-1,"Negative"
"132","","A707774",-1,"Negative"
"133","","A716550",-1,"Negative"
"134","","A682442",-1,"Negative"
"135","","A685452",-1,"Negative"
"136","","A688067",-1,"Negative"
"137","","A697735",-1,"Negative"
"138","","A704509",-1,"Negative"
"139","","A712466",-1,"Negative"
"140","","A705598",-1,"Negative"
"141","","A712108",-1,"Negative"
"142","","A686869",-1,"Negative"
"143","","A703342",-1,"Negative"
"144","","A707437",-1,"Negative"
"145","","A714703",-1,"Negative"
"146","","A720668",-1,"Negative"
