"","ID","years"
"1","A671945",1
"2","A656520",1
"3","A686464",2
"4","A683430",0
"5","A667013",2
"6","A677334",0
"7","A699218",0
"8","A701489",0
"9","A671784",0
"10","A677747",1
"11","A668402",2
"12","A666320",2
"13","A684601",4
"14","A704702",2
"15","A688584",1
"16","A678825",0
"17","A678050",0
"18","A680028",0
"19","A679010",2
"20","A684787",1
"21","A670658",0
"22","A708812",1
"23","A705262",2
"24","A665781",0
"25","A676333",0
"26","A712750",0
"27","A718832",0
"28","A698777",5
"29","A715348",0
"30","A708666",7
"31","A718535",3
"32","A707341",0
"33","A682532",0
"34","A666825",5
"35","A699723",3
"36","A668626",3
"37","A657085",3
"38","A682413",0
"39","A702655",0
"40","A707503",0
"41","A697199",7
"42","A705598",0
"43","A668388",0
"44","A671181",4
"45","A676766",2
"46","A686716",12
"47","A684475",9
"48","A701804",0
"49","A697852",0
"50","A666092",6
"51","A684050",1
"52","A710107",0
"53","A682347",0
"54","A701627",2
"55","A690902",0
"56","A712979",0
"57","A707687",0
"58","A683443",1
"59","A597644",4
"60","A682784",2
"61","A709863",1
"62","A678506",11
"63","A713029",0
"64","A712236",2
"65","A683961",0
"66","A714740",6
"67","A691847",0
"68","A711392",0
"69","A705258",0
"70","A678172",1
"71","A676736",0
"72","A701575",2
"73","A674913",3
"74","A706446",1
"75","A669540",4
"76","A709371",2
"77","A681410",0
"78","A675021",1
"79","A704179",0
"80","A717839",2
"81","A700740",1
"82","A712376",0
"83","A703952",0
"84","A713690",2
"85","A691838",12
"86","A687789",1
"87","A704754",0
"88","A707531",0
"89","A677594",0
"90","A667155",0
"91","A717147",0
"92","A687012",3
"93","A676200",7
"94","A676680",2
"95","A688443",0
"96","A715261",9
"97","A717008",0
"98","A683416",0
"99","A690658",3
"100","A695155",3
"101","A679721",5
"102","A719113",5
"103","A665298",0
"104","A708351",0
"105","A670681",4
"106","A699990",4
"107","A707767",0
"108","A668362",2
"109","A674577",2
"110","A674802",9
"111","A672410",5
"112","A657753",1
"113","A663339",2
"114","A678229",0
"115","A698694",0
"116","A695971",6
"117","A674233",1
"118","A713392",0
"119","A713968",0
"120","A701428",3
"121","A676146",5
"122","A679259",8
"123","A688223",0
"124","A691968",7
"125","A688871",0
"126","A674530",5
"127","A718604",1
"128","A686520",0
"129","A699094",2
"130","A394547",9
"131","A662685",3
"132","A713977",3
"133","A707781",1
"134","A694699",2
"135","A696350",1
"136","A679102",2
"137","A698341",2
"138","A681481",2
"139","A714177",0
"140","A689601",0
"141","A685062",0
"142","A672453",0
"143","A719480",2
"144","A702880",0
"145","A714494",0
"146","A711853",0
"147","A688720",1
"148","A689690",0
"149","A679915",1
"150","A687991",0
"151","A707896",2
"152","A702014",0
"153","A673626",0
"154","A652097",2
"155","A685180",2
"156","A707442",2
"157","A682599",0
"158","A685452",0
"159","A688067",0
"160","A714069",0
"161","A705924",7
"162","A717167",4
"163","A711639",0
"164","A716760",0
"165","A709048",0
"166","A719048",8
"167","A707437",0
"168","A706387",0
"169","A720668",0
"170","A679341",0
"171","A690519",0
"172","A708769",1
"173","A681462",2
"174","A666444",11
"175","A701153",0
"176","A710071",0
"177","A714602",0
"178","A700707",0
"179","A702563",7
"180","A679441",0
"181","A715729",4
"182","A716575",2
"183","A714462",1
"184","A717429",2
"185","A687336",0
"186","A713364",1
"187","A701999",2
"188","A664304",0
"189","A698066",4
"190","A680585",0
